action,eMailAddress,firstName,lastName,company,industry,jobRole,street1,street2,state,postalCode,country,sfdcRole,gridEval,language,sfdcMailTemplate,phone,sfdcUserID,city,isActive
create,sfdcnvtest1@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12345,US,NVCRMAccessRole,abcdefghijklmn,en,NVCRM,1234567890,sfdcnvtest1@nvidia.com,sfo,0
create,sfdcnvtest2@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12346,US,NVCRMAccessRole,abcdefghijklmn,en,NVCRM,1234567891,sfdcnvtest2@nvidia.com,sfo,0
create,sfdcnvtest3@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12347,US,NVCRMAccessRole,abcdefghijklmn,en,NVCRM,1234567892,sfdcnvtest3@nvidia.com,sfo,0
create,sfdcnvtest4@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12348,US,NVCRMAccessRole,abcdefghijklmn,en,NVCRM,1234567893,sfdcnvtest4@nvidia.com,sfo,0
create,sfdcnvtest5@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12349,US,NVCRMAccessRole,abcdefghijklmn,en,NVCRM,1234567894,sfdcnvtest5@nvidia.com,sfo,0
create,sfdcnvtest6@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12350,US,NVCRMAccessRole,abcdefghijklmn,en,NVCRM,1234567895,sfdcnvtest6@nvidia.com,sfo,0
create,sfdcnvtest7@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12351,US,NVCRMAccessRole,abcdefghijklmn,en,NVCRM,1234567896,sfdcnvtest7@nvidia.com,sfo,0
create,sfdcnvtest8@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12352,US,NVCRMAccessRole,abcdefghijklmn,en,NVCRM,1234567897,sfdcnvtest8@nvidia.com,sfo,0
create,sfdcnvtest9@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12353,US,NVCRMAccessRole,abcdefghijklmn,en,NVCRM,1234567898,sfdcnvtest9@nvidia.com,sfo,0
create,sfdcnvtest10@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12354,US,NVCRMAccessRole,abcdefghijklmn,en,NVCRM,1234567899,sfdcnvtest10@nvidia.com,sfo,0
