action,|eMailAddress|,|revokeRole|
create,sfdcnvtest1@nvidia.com,NVCRMAccessRole
create,sfdcnvtest2@nvidia.com,NVCRMAccessRole
create,sfdcnvtest3@nvidia.com,NVCRMAccessRole
create,sfdcnvtest4@nvidia.com,NVCRMAccessRole
create,sfdcnvtest5@nvidia.com,NVCRMAccessRole
create,sfdcnvtest6@nvidia.com,NVCRMAccessRole
create,sfdcnvtest7@nvidia.com,NVCRMAccessRole
create,sfdcnvtest8@nvidia.com,NVCRMAccessRole
create,sfdcnvtest9@nvidia.com,NVCRMAccessRole
create,sfdcnvtest10@nvidia.com,NVCRMAccessRole
create,sfdcnvtest11@nvidia.com,NVCRMAccessRole
create,sfdcnvtest12@nvidia.com,NVCRMAccessRole
create,sfdcnvtest13@nvidia.com,NVCRMAccessRole
create,sfdcnvtest14@nvidia.com,NVCRMAccessRole
create,sfdcnvtest15@nvidia.com,NVCRMAccessRole
create,sfdcnvtest16@nvidia.com,NVCRMAccessRole
create,sfdcnvtest17@nvidia.com,NVCRMAccessRole
create,sfdcnvtest18@nvidia.com,NVCRMAccessRole
create,sfdcnvtest19@nvidia.com,NVCRMAccessRole
create,sfdcnvtest20@nvidia.com,NVCRMAccessRole
create,sfdcnvtest21@nvidia.com,NVCRMAccessRole
create,sfdcnvtest22@nvidia.com,NVCRMAccessRole
create,sfdcnvtest23@nvidia.com,NVCRMAccessRole
create,sfdcnvtest24@nvidia.com,NVCRMAccessRole
create,sfdcnvtest25@nvidia.com,NVCRMAccessRole
create,sfdcnvtest26@nvidia.com,NVCRMAccessRole
create,sfdcnvtest27@nvidia.com,NVCRMAccessRole
create,sfdcnvtest28@nvidia.com,NVCRMAccessRole
create,sfdcnvtest29@nvidia.com,NVCRMAccessRole
create,sfdcnvtest30@nvidia.com,NVCRMAccessRole
create,sfdcnvtest31@nvidia.com,NVCRMAccessRole
create,sfdcnvtest32@nvidia.com,NVCRMAccessRole
create,sfdcnvtest33@nvidia.com,NVCRMAccessRole
create,sfdcnvtest34@nvidia.com,NVCRMAccessRole
create,sfdcnvtest35@nvidia.com,NVCRMAccessRole
create,sfdcnvtest36@nvidia.com,NVCRMAccessRole
create,sfdcnvtest37@nvidia.com,NVCRMAccessRole
create,sfdcnvtest38@nvidia.com,NVCRMAccessRole
create,sfdcnvtest39@nvidia.com,NVCRMAccessRole
create,sfdcnvtest40@nvidia.com,NVCRMAccessRole
create,sfdcnvtest41@nvidia.com,NVCRMAccessRole
create,sfdcnvtest42@nvidia.com,NVCRMAccessRole
create,sfdcnvtest43@nvidia.com,NVCRMAccessRole
create,sfdcnvtest44@nvidia.com,NVCRMAccessRole
create,sfdcnvtest45@nvidia.com,NVCRMAccessRole
create,sfdcnvtest46@nvidia.com,NVCRMAccessRole
create,sfdcnvtest47@nvidia.com,NVCRMAccessRole
create,sfdcnvtest48@nvidia.com,NVCRMAccessRole
create,sfdcnvtest49@nvidia.com,NVCRMAccessRole
create,sfdcnvtest50@nvidia.com,NVCRMAccessRole
create,sfdcnvtest51@nvidia.com,NVCRMAccessRole
create,sfdcnvtest52@nvidia.com,NVCRMAccessRole
create,sfdcnvtest53@nvidia.com,NVCRMAccessRole
