action,|eMailAddress|,|firstName|,|lastName|,|company|,|industry|,|jobRole|,|street1|,|street2|,|state|,|postalCode|,|country|,|sfdcRole|,|gridEval|,|language|,|sfdcMailTemplate|,|phone|,|sfdcUserID|,|city|,|isActive|
create,sfdctest1@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12345,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567890,sfdctest1@nvidia.com,sfo,0
create,sfdctest2@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12346,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567891,sfdctest2@nvidia.com,sfo,0
create,sfdctest3@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12347,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567892,sfdctest3@nvidia.com,sfo,0
create,sfdctest4@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12348,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567893,sfdctest4@nvidia.com,sfo,0
create,sfdctest5@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12349,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567894,sfdctest5@nvidia.com,sfo,0
create,sfdctest6@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12350,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567895,sfdctest6@nvidia.com,sfo,0
create,sfdctest7@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12351,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567896,sfdctest7@nvidia.com,sfo,0
create,sfdctest8@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12352,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567897,sfdctest8@nvidia.com,sfo,0
create,sfdctest9@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12353,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567898,sfdctest9@nvidia.com,sfo,0
create,sfdctest10@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12354,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567899,sfdctest10@nvidia.com,sfo,0
create,sfdctest11@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12355,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567900,sfdctest11@nvidia.com,sfo,0
create,sfdctest12@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12356,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567901,sfdctest12@nvidia.com,sfo,0
create,sfdctest13@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12357,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567902,sfdctest13@nvidia.com,sfo,0
create,sfdctest14@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12358,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567903,sfdctest14@nvidia.com,sfo,0
create,sfdctest15@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12359,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567904,sfdctest15@nvidia.com,sfo,0
create,sfdctest16@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12360,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567905,sfdctest16@nvidia.com,sfo,0
create,sfdctest17@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12361,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567906,sfdctest17@nvidia.com,sfo,0
create,sfdctest18@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12362,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567907,sfdctest18@nvidia.com,sfo,0
create,sfdctest19@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12363,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567908,sfdctest19@nvidia.com,sfo,0
create,sfdctest20@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12364,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567909,sfdctest20@nvidia.com,sfo,0
create,sfdctest21@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12365,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567910,sfdctest21@nvidia.com,sfo,0
create,sfdctest22@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12366,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567911,sfdctest22@nvidia.com,sfo,0
create,sfdctest23@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12367,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567912,sfdctest23@nvidia.com,sfo,0
create,sfdctest24@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12368,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567913,sfdctest24@nvidia.com,sfo,0
create,sfdctest25@nvidia.com,sfdc,test,inno,Other,Other,avenue,avenue,AL,12369,US,SOCRMAccessRole,abcdefghijklmn,en,SOCRM,1234567914,sfdctest25@nvidia.com,sfo,0
