action,|eMailAddress|,|revokeRole|
create,sfdctest1@nvidia.com,SOCRMAccessRole
create,sfdctest2@nvidia.com,SOCRMAccessRole
create,sfdctest3@nvidia.com,SOCRMAccessRole
create,sfdctest4@nvidia.com,SOCRMAccessRole
create,sfdctest5@nvidia.com,SOCRMAccessRole
create,sfdctest6@nvidia.com,SOCRMAccessRole
create,sfdctest7@nvidia.com,SOCRMAccessRole
create,sfdctest8@nvidia.com,SOCRMAccessRole
create,sfdctest9@nvidia.com,SOCRMAccessRole
create,sfdctest10@nvidia.com,SOCRMAccessRole
create,sfdctest11@nvidia.com,SOCRMAccessRole
create,sfdctest12@nvidia.com,SOCRMAccessRole
create,sfdctest13@nvidia.com,SOCRMAccessRole
create,sfdctest14@nvidia.com,SOCRMAccessRole
create,sfdctest15@nvidia.com,SOCRMAccessRole
create,sfdctest16@nvidia.com,SOCRMAccessRole
create,sfdctest17@nvidia.com,SOCRMAccessRole
create,sfdctest18@nvidia.com,SOCRMAccessRole
create,sfdctest19@nvidia.com,SOCRMAccessRole
create,sfdctest20@nvidia.com,SOCRMAccessRole
create,sfdctest21@nvidia.com,SOCRMAccessRole
create,sfdctest22@nvidia.com,SOCRMAccessRole
create,sfdctest23@nvidia.com,SOCRMAccessRole
create,sfdctest24@nvidia.com,SOCRMAccessRole
create,sfdctest25@nvidia.com,SOCRMAccessRole
create,sfdctest26@nvidia.com,SOCRMAccessRole
create,sfdctest27@nvidia.com,SOCRMAccessRole
create,sfdctest28@nvidia.com,SOCRMAccessRole
create,sfdctest29@nvidia.com,SOCRMAccessRole
create,sfdctest30@nvidia.com,SOCRMAccessRole
create,sfdctest31@nvidia.com,SOCRMAccessRole
create,sfdctest32@nvidia.com,SOCRMAccessRole
create,sfdctest33@nvidia.com,SOCRMAccessRole
create,sfdctest34@nvidia.com,SOCRMAccessRole
create,sfdctest35@nvidia.com,SOCRMAccessRole
create,sfdctest36@nvidia.com,SOCRMAccessRole
create,sfdctest37@nvidia.com,SOCRMAccessRole
create,sfdctest38@nvidia.com,SOCRMAccessRole
create,sfdctest39@nvidia.com,SOCRMAccessRole
create,sfdctest40@nvidia.com,SOCRMAccessRole
create,sfdctest41@nvidia.com,SOCRMAccessRole
create,sfdctest42@nvidia.com,SOCRMAccessRole
create,sfdctest43@nvidia.com,SOCRMAccessRole
create,sfdctest44@nvidia.com,SOCRMAccessRole
create,sfdctest45@nvidia.com,SOCRMAccessRole
create,sfdctest46@nvidia.com,SOCRMAccessRole
create,sfdctest47@nvidia.com,SOCRMAccessRole
create,sfdctest48@nvidia.com,SOCRMAccessRole
create,sfdctest49@nvidia.com,SOCRMAccessRole
create,sfdctest50@nvidia.com,SOCRMAccessRole
create,sfdctest51@nvidia.com,SOCRMAccessRole
create,sfdctest52@nvidia.com,SOCRMAccessRole
create,sfdctest53@nvidia.com,SOCRMAccessRole
create,sfdctest54@nvidia.com,SOCRMAccessRole
create,sfdctest55@nvidia.com,SOCRMAccessRole
create,sfdctest56@nvidia.com,SOCRMAccessRole
create,sfdctest57@nvidia.com,SOCRMAccessRole
create,sfdctest58@nvidia.com,SOCRMAccessRole
create,sfdctest59@nvidia.com,SOCRMAccessRole
create,sfdctest60@nvidia.com,SOCRMAccessRole
create,sfdctest61@nvidia.com,SOCRMAccessRole
create,sfdctest62@nvidia.com,SOCRMAccessRole
create,sfdctest63@nvidia.com,SOCRMAccessRole
create,sfdctest64@nvidia.com,SOCRMAccessRole
create,sfdctest65@nvidia.com,SOCRMAccessRole
create,sfdctest66@nvidia.com,SOCRMAccessRole
create,sfdctest67@nvidia.com,SOCRMAccessRole
create,sfdctest68@nvidia.com,SOCRMAccessRole
create,sfdctest69@nvidia.com,SOCRMAccessRole
create,sfdctest70@nvidia.com,SOCRMAccessRole
create,sfdctest71@nvidia.com,SOCRMAccessRole
create,sfdctest72@nvidia.com,SOCRMAccessRole
create,sfdctest73@nvidia.com,SOCRMAccessRole
create,sfdctest74@nvidia.com,SOCRMAccessRole
create,sfdctest75@nvidia.com,SOCRMAccessRole
create,sfdctest76@nvidia.com,SOCRMAccessRole
create,sfdctest77@nvidia.com,SOCRMAccessRole
create,sfdctest78@nvidia.com,SOCRMAccessRole
create,sfdctest79@nvidia.com,SOCRMAccessRole
create,sfdctest80@nvidia.com,SOCRMAccessRole
create,sfdctest81@nvidia.com,SOCRMAccessRole
create,sfdctest82@nvidia.com,SOCRMAccessRole
create,sfdctest83@nvidia.com,SOCRMAccessRole
create,sfdctest84@nvidia.com,SOCRMAccessRole
create,sfdctest85@nvidia.com,SOCRMAccessRole
create,sfdctest86@nvidia.com,SOCRMAccessRole
create,sfdctest87@nvidia.com,SOCRMAccessRole
create,sfdctest88@nvidia.com,SOCRMAccessRole
create,sfdctest89@nvidia.com,SOCRMAccessRole
create,sfdctest90@nvidia.com,SOCRMAccessRole
create,sfdctest91@nvidia.com,SOCRMAccessRole
create,sfdctest92@nvidia.com,SOCRMAccessRole
create,sfdctest93@nvidia.com,SOCRMAccessRole
create,sfdctest94@nvidia.com,SOCRMAccessRole
create,sfdctest95@nvidia.com,SOCRMAccessRole
create,sfdctest96@nvidia.com,SOCRMAccessRole
create,sfdctest97@nvidia.com,SOCRMAccessRole
create,sfdctest98@nvidia.com,SOCRMAccessRole
create,sfdctest99@nvidia.com,SOCRMAccessRole
create,sfdctest100@nvidia.com,SOCRMAccessRole
